stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening F:\School\Introduction_to_Programming\Final_Project\G37_FInal_Project\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.08751] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08751] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08752] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08753] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08753] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08754] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08755] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08756] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08756] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08757] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08758] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08759] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08760] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08761] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08761] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08762] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08763] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08764] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08764] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08765] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08766] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08767] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08767] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08768] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08769] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08770] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08770] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08771] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08772] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08772] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08773] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08774] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08775] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08775] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08776] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08777] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08777] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08778] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08779] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08780] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08780] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08781] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08782] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08783] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08783] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08784] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08785] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08786] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08786] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08787] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08788] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08789] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08789] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08790] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08791] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08792] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08792] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08793] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08794] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08794] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08795] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08796] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08797] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08797] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08798] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08799] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08799] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08800] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08801] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08802] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08802] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08803] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08804] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08805] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08805] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08806] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08807] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08808] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08808] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08809] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08810] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08811] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08811] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08812] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08813] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08814] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08814] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08815] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08816] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08817] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08817] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08818] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08819] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08820] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08820] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08821] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08822] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08823] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08823] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08824] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08825] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08826] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08826] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08827] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08828] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08829] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08829] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08830] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08831] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08832] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08833] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08833] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08834] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08835] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08836] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08836] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08837] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08838] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08839] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08840] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08841] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08841] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08842] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08843] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08844] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08844] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08845] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08846] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08847] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08847] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08848] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08849] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08850] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08850] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08851] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08852] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08852] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08853] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08854] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08855] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08856] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08856] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08857] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08858] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08858] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08859] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08860] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08861] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08861] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08862] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08863] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08864] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08864] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08865] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08866] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08867] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08867] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08868] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08869] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08870] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08870] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08871] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08872] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08872] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08873] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08874] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08875] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08875] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08876] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08877] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08878] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08878] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08879] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08880] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08880] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08881] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08882] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08883] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08883] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08884] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08885] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08886] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08886] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08887] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08888] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08888] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08889] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08890] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08890] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08891] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08892] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08893] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08893] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08894] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08895] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08896] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08896] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08897] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08898] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08898] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08899] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08900] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08901] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08902] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08902] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08903] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08904] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08904] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08905] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08906] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08906] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08907] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08908] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08909] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08909] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08910] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08911] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08912] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08912] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08913] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08914] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08914] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08915] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08916] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08917] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08917] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08918] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08919] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08919] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08920] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08921] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08922] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08922] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08923] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08924] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08925] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08925] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
